Pais nombre,Pais,serie Name,serie Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Chile,CHL,"Poblacion, total",SP.POP.TOTL,8132990,8303811,8476897,8650387,8821858,8989621,9152844,9312095,9468845,9625312,9783134,9942727,10103674,10265829,10428798,10592307,10756878,10922779,11089165,11254877,11419348,11582014,11743911,11907960,12078135,12257236,12445823,12642924,12847708,13058758,13274623,13495258,13719819,13944937,14166340,14380866,14587370,14786220,14977733,15162800,15342353,15516113,15684409,15849652,16014971,16182721,16354504,16530195,16708258,16886186,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160,18952038,..
Chile,CHL,Cajeros automaticos (por cada 100.000 adultos),FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.41383498,39.47079928,43.44936026,48.94850165,54.87090911,57.80980498,61.67812488,64.63802557,67.54209153,63.87232459,56.6289188,55.87942878,53.22909389,51.59802928,49.68920956,49.61502151,..
Colombia,COL,PIB (US$ a precios constantes de 2010),NY.GDP.MKTP.KD,37566131248,39477953180,41614456428,42982201911,45632889083,47275678288,49751380685,51808532697,54882394077,58231601674,61846501274,65533002958,70558825648,75302463720,79629160442,81479149121,85331783730,88880310612,96408384786,1.02E+11,1.06E+11,1.08E+11,1.09E+11,1.11E+11,1.15E+11,1.18E+11,1.25E+11,1.32E+11,1.37E+11,1.42E+11,1.48E+11,1.51E+11,1.57E+11,1.65E+11,1.75E+11,1.84E+11,1.88E+11,1.94E+11,1.95E+11,1.87E+11,1.93E+11,1.96E+11,2.01E+11,2.09E+11,2.20E+11,2.30E+11,2.46E+11,2.63E+11,2.71E+11,2.74E+11,2.87E+11,3.06E+11,3.18E+11,3.35E+11,3.50E+11,3.60E+11,3.68E+11,3.73E+11,3.82E+11,3.95E+11,..
Colombia,COL,"Poblacion, total",SP.POP.TOTL,16057714,16567817,17092919,17629978,18175187,18725242,19279734,19837508,20393704,20942453,21480064,22003983,22516429,23024512,23538390,24065502,24608102,25164544,25733669,26312996,26900508,27496608,28101824,28714183,29331230,29951194,30572479,31195417,31822527,32457497,33102569,33758328,34422568,35091272,35758978,36421438,37076387,37723803,38364307,38999468,39629965,40255956,40875363,41483872,42075953,42647731,43200901,43737512,44254972,44750054,45222699,45662747,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,..
Colombia,COL,Cajeros automaticos (por cada 100.000 adultos),FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.31249633,27.23305176,28.66619468,34.95166388,32.50501031,36.0532429,39.51514949,40.96716245,41.31440423,41.61722907,42.02347767,42.34788089,41.28129542,..
México,MEX,PIB (US$ a precios constantes de 2010),NY.GDP.MKTP.KD,1.48E+11,1.55E+11,1.62E+11,1.75E+11,1.96E+11,2.10E+11,2.23E+11,2.36E+11,2.58E+11,2.67E+11,2.84E+11,2.95E+11,3.19E+11,3.45E+11,3.64E+11,3.85E+11,4.02E+11,4.16E+11,4.53E+11,4.97E+11,5.43E+11,5.90E+11,5.86E+11,5.66E+11,5.85E+11,5.98E+11,5.80E+11,5.90E+11,5.97E+11,6.22E+11,6.54E+11,6.82E+11,7.06E+11,7.19E+11,7.55E+11,7.07E+11,7.55E+11,8.07E+11,8.49E+11,8.72E+11,9.15E+11,9.12E+11,9.11E+11,9.24E+11,9.61E+11,9.83E+11,1.03E+12,1.05E+12,1.06E+12,1.01E+12,1.06E+12,1.10E+12,1.14E+12,1.15E+12,1.18E+12,1.22E+12,1.26E+12,1.28E+12,1.31E+12,1.31E+12,..
México,MEX,"Poblacion, total",SP.POP.TOTL,37771859,38966056,40195319,41462369,42771079,44123853,45519737,46956208,48431972,49945279,51493565,53076373,54689943,56324303,57966804,59607953,61242190,62869903,64494869,66123897,67761372,69407624,71058654,72709299,74352631,75983485,77599098,79200081,80788721,82368931,83943132,85512623,87075138,88625440,90156400,91663285,93147044,94611002,96056321,97484832,98899845,100298153,101684758,103081020,104514932,106005203,107560153,109170502,110815271,112463887,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788,127575529,..
México,MEX,Cajeros automaticos (por cada 100.000 adultos),FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.84583662,31.6928233,34.8243488,38.91213643,41.42953753,42.91032034,45.1702846,44.85907931,48.75820552,48.7092192,50.45125395,52.8999559,54.59118442,55.61998208,58.82055137,61.53782374,..
Estados Unidos,USA,PIB (US$ a precios constantes de 2010),NY.GDP.MKTP.KD,3.17E+12,3.25E+12,3.44E+12,3.60E+12,3.80E+12,4.05E+12,4.31E+12,4.42E+12,4.63E+12,4.77E+12,4.76E+12,4.92E+12,5.17E+12,5.47E+12,5.44E+12,5.43E+12,5.72E+12,5.98E+12,6.31E+12,6.51E+12,6.50E+12,6.66E+12,6.54E+12,6.84E+12,7.34E+12,7.64E+12,7.91E+12,8.18E+12,8.52E+12,8.83E+12,9.00E+12,8.99E+12,9.31E+12,9.56E+12,9.95E+12,1.02E+13,1.06E+13,1.11E+13,1.16E+13,1.21E+13,1.26E+13,1.27E+13,1.30E+13,1.33E+13,1.38E+13,1.43E+13,1.47E+13,1.50E+13,1.50E+13,1.46E+13,1.50E+13,1.52E+13,1.56E+13,1.59E+13,1.63E+13,1.67E+13,1.70E+13,1.74E+13,1.79E+13,1.83E+13,..
Estados Unidos,USA,"Poblacion, total",SP.POP.TOTL,180671000,183691000,186538000,189242000,191889000,194303000,196560000,198712000,200706000,202677000,205052000,207661000,209896000,211909000,213854000,215973000,218035000,220239000,222585000,225055000,227225000,229466000,231664000,233792000,235825000,237924000,240133000,242289000,244499000,246819000,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,..
Estados Unidos,USA,Cajeros automaticos (por cada 100.000 adultos),FB.ATM.TOTL.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,165.7838905,169.3687389,167.185441,173.842306,168.0513061,173.95978,..,..,..,..,..,..,..,..,..,..,..
