Mujer,56,5375
Hombre,52,12900
Hombre,25,12000
Mujer,50,3870
Mujer,41,1000
Mujer,36,4085
Mujer,23,3440
Hombre,59,4300
Hombre,37,4000
Hombre,18,4300
Hombre,44,9000
Mujer,35,24000
Hombre,15,3870
Hombre,36,7740
Hombre,30,4500
Hombre,35,8260
Hombre,46,5160
Mujer,69,1075
Hombre,35,12000
Hombre,26,3225
Hombre,42,4300
Mujer,21,1290
Mujer,43,17200
Hombre,33,10750
Mujer,40,5590
Hombre,34,17200
Mujer,42,1720
Mujer,40,4085
Hombre,48,15000
Hombre,52,8000
Hombre,26,8600
Hombre,29,12900
Hombre,45,11600
Mujer,41,6020
Mujer,47,2580
Mujer,51,1075
Hombre,51,12900
Hombre,25,6020
Mujer,21,9460
Hombre,44,8000
Mujer,24,3225
Hombre,21,5160
Mujer,22,6880
Hombre,55,5200
Mujer,31,4730
Mujer,26,1075
Mujer,32,6450
Hombre,55,4730
Hombre,24,4300
Hombre,17,3010
Hombre,27,4000
Hombre,42,5160
Mujer,56,3870
Hombre,53,3200
Mujer,29,8000
Hombre,62,5160
Mujer,18,3010
Hombre,37,6450
Hombre,38,16000
Hombre,15,2580
Hombre,21,3225
Mujer,47,3010
Mujer,27,8600
Hombre,41,13760
Mujer,45,4500
Hombre,34,7740
Hombre,47,8600
Mujer,18,5160
Hombre,41,30100
Mujer,40,4300
Hombre,51,3096
Hombre,21,4515
Hombre,19,4300
Hombre,56,17200
Mujer,19,3265
Mujer,28,8600
Mujer,51,1290
Hombre,16,2150
Hombre,37,15480
Hombre,42,8600
Hombre,31,6450
Mujer,40,12000
Mujer,39,6450
Hombre,65,7740
Mujer,28,14000
Hombre,36,12000
Hombre,52,15480
Hombre,21,6665
Mujer,19,1720
Hombre,17,5160
Mujer,50,1075
Hombre,47,8600
Hombre,19,5590
Hombre,20,3870
Hombre,24,4300
Hombre,34,10750
Mujer,53,4300
Hombre,61,13760
Mujer,53,6000
Mujer,19,2400
Hombre,59,35000
Mujer,51,8000
Mujer,48,1720
Hombre,20,10320
Hombre,51,5000
Hombre,33,7740
Hombre,33,7600
Hombre,23,4300
Hombre,57,10000
Hombre,56,8000
Hombre,52,9030
Mujer,33,5375
Hombre,31,2580
Hombre,38,6450
Mujer,64,1290
Mujer,53,4600
Hombre,43,8000
Hombre,29,5160
Hombre,24,10000
Hombre,50,10750
Hombre,24,4000
Hombre,32,9000
Hombre,12,1720
Hombre,42,7500
Mujer,55,4515
Hombre,38,3870
Mujer,47,10000
Hombre,37,7740
Hombre,53,3225
Hombre,22,5160
Mujer,48,8000
Mujer,29,4000
Hombre,48,10750
Hombre,51,2150
Hombre,45,3870
Mujer,23,3440
Hombre,33,4300
Hombre,24,8600
Hombre,71,3000
Hombre,38,3600
Mujer,41,3000
Hombre,53,4730
Hombre,42,9030
Mujer,39,4300
Hombre,59,15000
Hombre,68,4128
Mujer,32,2580
Hombre,24,1720
Hombre,25,12000
Hombre,17,5590
Hombre,41,3870
Hombre,59,15000
Hombre,51,9800
Hombre,35,16000
Mujer,41,12000
Hombre,45,6020
Mujer,67,1505
Hombre,47,6880
Hombre,70,36000
Hombre,53,6450
Hombre,53,8400
Hombre,29,3121
Hombre,37,7740
Hombre,64,1400
Hombre,41,3225
Hombre,40,5000
Hombre,55,4000
Hombre,25,6880
Hombre,54,6000
Mujer,24,5160
Hombre,29,18000
Hombre,49,15000
Hombre,41,6020
Hombre,25,4600
Hombre,20,12000
Hombre,61,10000
Mujer,38,6450
Mujer,38,4300
Mujer,44,2580
Mujer,32,6000
Hombre,35,4300
Hombre,48,5160
Hombre,24,14000
Hombre,20,12000
Hombre,44,12900
Hombre,29,12000
Hombre,52,9030
Mujer,38,1720
Hombre,42,30000
Hombre,50,21500
Mujer,29,15050
Mujer,63,30000
Mujer,63,3010
Hombre,40,9000
Hombre,63,2580
Hombre,70,4300
Hombre,26,6450
Hombre,21,5160
Hombre,34,8600
Mujer,61,5000
Mujer,27,21500
Mujer,51,2580
Hombre,27,6880
Hombre,33,6880
Hombre,21,8600
Hombre,44,7310
Hombre,24,3870
Hombre,62,8600
Hombre,43,8600
Hombre,74,4730
Mujer,50,6450
Mujer,35,3870
Mujer,14,1290
Hombre,41,16000
Hombre,73,14000
Mujer,36,2580
Mujer,46,9800
Hombre,37,6000
Hombre,60,2322
Hombre,33,2500
Mujer,34,6020
Hombre,47,2100
Hombre,23,10750
Mujer,32,5160
Hombre,62,8600
Hombre,51,14000
Mujer,43,3870
Hombre,36,5160
Hombre,48,6450
Mujer,17,1290
Hombre,50,11400
Hombre,20,7740
Hombre,47,5160
Hombre,64,6020
Mujer,40,7740
Hombre,28,4300
Hombre,19,2580
Hombre,61,16000
Hombre,24,7740
Mujer,18,2580
Hombre,32,17200
Hombre,26,7310
Hombre,43,6000
Mujer,42,9000
Hombre,18,5200
Mujer,30,7310
Hombre,32,3000
Mujer,27,6000
Hombre,29,3010
Hombre,22,7740
Mujer,20,3870
Hombre,18,2150
Mujer,32,5160
Hombre,44,7800
Mujer,40,4300
Mujer,87,1935
Hombre,27,10000
Mujer,51,1720
Hombre,53,4300
Hombre,39,15000
Hombre,34,4730
Hombre,51,5160
Mujer,54,7740
Hombre,49,5160
Hombre,50,18000
Hombre,39,12600
Hombre,50,6450
Hombre,25,2150
Mujer,43,3655
Hombre,24,4300
Hombre,42,8600
Hombre,31,8600
Hombre,31,8600
Hombre,33,12000
Hombre,43,12900
Mujer,39,15000
Mujer,39,3000
Hombre,66,35000
Hombre,25,3096
Hombre,45,17000
Hombre,32,3440
Mujer,30,5160
Mujer,43,6000
Hombre,30,3010
Hombre,26,6020
Hombre,35,8170
Hombre,37,7000
Hombre,29,8000
Hombre,27,4300
Mujer,53,1000
Hombre,46,12000
Hombre,68,6450
Hombre,48,5160
Mujer,39,3870
Hombre,35,3870
Mujer,36,6400
Hombre,39,10000
Hombre,36,15000
Mujer,49,6000
Mujer,54,18000
Mujer,26,2580
Mujer,28,5000
Mujer,26,5590
Mujer,23,3870
Mujer,44,3000
Hombre,41,6450
Mujer,42,13400
Hombre,43,14000
Mujer,29,4300
Hombre,49,15050
Hombre,38,5160
Hombre,39,7740
Hombre,41,7740
Hombre,28,19350
Mujer,27,8600
Hombre,48,4730
Mujer,26,3870
Hombre,58,7740
Hombre,52,2150
Hombre,46,30000
Hombre,26,8600
Mujer,32,3000
Hombre,44,16340
Hombre,28,8000
Mujer,20,4730
Hombre,37,12900
Hombre,57,12040
Hombre,26,8000
Mujer,49,6450
Hombre,49,7740
Mujer,42,7525
Hombre,23,9000
Hombre,45,10000
Hombre,43,7740
Hombre,51,2920
Hombre,42,4000
Mujer,51,6450
Hombre,52,12400
Hombre,24,12600
Hombre,37,1505
Mujer,30,2150
Hombre,43,3890
Mujer,16,1290
Mujer,46,2150
Mujer,45,8000
Hombre,56,6450
Hombre,20,3870
Hombre,33,2064
Hombre,55,8000
Hombre,15,3870
Hombre,25,8600
Hombre,40,6450
Hombre,69,10833
Hombre,69,1720
Mujer,54,8600
Hombre,21,10750
Mujer,48,5590
Hombre,33,7740
Mujer,42,1000
Hombre,52,4300
Hombre,28,6450
Hombre,36,17200
Hombre,61,1075
Hombre,24,6450
Hombre,71,4300
Mujer,30,6880
Hombre,54,60000
Hombre,37,17200
Hombre,60,10000
Hombre,39,10320
Hombre,49,14000
Hombre,41,7740
Hombre,18,2150
Hombre,34,8600
Hombre,24,15050
Hombre,18,3870
Mujer,54,1290
Mujer,53,4730
Hombre,45,5160
Hombre,81,5160
Mujer,42,16000
Mujer,40,4730
Mujer,48,4300
Hombre,70,6880
Hombre,52,6450
Hombre,34,8600
Hombre,45,10000
Hombre,20,6450
Hombre,24,8600
Mujer,50,11500
Hombre,51,6000
Mujer,35,5160
Mujer,21,3440
Mujer,36,13000
Hombre,21,5160
Mujer,56,5160
Hombre,59,7740
Mujer,23,5590
Hombre,35,10750
Hombre,31,9000
Mujer,55,17200
Mujer,44,15000
Mujer,56,7740
Hombre,47,6450
Mujer,33,12000
Hombre,31,7740
Mujer,37,5160
Mujer,23,3870
Hombre,42,56000
Hombre,33,4300
Hombre,63,7740
Hombre,50,4300
Hombre,39,10750
Hombre,44,3870
Hombre,20,4300
Hombre,41,3440
Hombre,18,4300
Hombre,26,6450
Hombre,26,14000
Hombre,42,12000
Hombre,63,4800
Hombre,13,2580
Mujer,56,2580
Mujer,59,2000
Mujer,33,2150
Mujer,34,6020
Mujer,98,6020
Hombre,56,17200
Hombre,66,2580
Mujer,26,6000
Mujer,54,5590
Hombre,75,3870
Mujer,25,2150
Hombre,52,7740
Hombre,43,28000
Mujer,45,1290
Hombre,37,12900
Hombre,44,12900
Hombre,24,17200
Mujer,48,2580
Mujer,20,6568
Mujer,29,10000
Mujer,24,8600
Hombre,42,12000
Hombre,19,2580
Mujer,33,3000
Mujer,34,5000
Mujer,35,8170
Hombre,43,9675
Hombre,52,3096
Hombre,18,5160
Mujer,69,1720
Mujer,38,5160
Mujer,34,3440
Mujer,37,2580
Hombre,39,12000
Hombre,23,16000
Mujer,17,1290
Hombre,36,1000
Hombre,18,4300
Hombre,50,12900
Mujer,35,9600
Hombre,37,7740
Mujer,31,1500
Hombre,48,7740
Hombre,33,5160
Mujer,49,6235
Mujer,57,3010
Hombre,18,13416
Hombre,53,6400
Hombre,32,5590
Hombre,46,8600
Hombre,34,8600
Hombre,70,4300
Hombre,59,15000
Hombre,54,7998
Hombre,15,2150
Hombre,31,2064
Hombre,39,5590
Hombre,67,6450
Mujer,22,8600
Mujer,37,10750
Mujer,26,15000
Mujer,24,1935
Mujer,60,4515
Hombre,20,4500
Mujer,73,2064
Mujer,35,10000
Mujer,38,9600
Mujer,39,16000
Hombre,39,11550
Mujer,61,25000
Mujer,35,2400
Hombre,38,12900
Mujer,35,5160
Hombre,40,5160
Hombre,31,8000
Mujer,18,2580
Mujer,59,3440
Mujer,39,7310
Mujer,44,10320
Mujer,45,8000
Mujer,23,5160
Mujer,50,1075
Mujer,28,3870
Mujer,56,2580
Hombre,34,3600
Hombre,29,20000
Hombre,37,6800
Hombre,32,10750
Mujer,54,8000
Hombre,19,2580
Hombre,43,8000
Hombre,16,4730
Hombre,53,6450
Hombre,26,11180
Hombre,38,3440
Mujer,34,8000
Mujer,25,3000
Hombre,51,8600
Mujer,32,3440
Hombre,44,3010
Hombre,51,15000
Hombre,28,6450
Hombre,29,6000
Hombre,30,20000
Hombre,27,5160
Mujer,28,7000
Hombre,35,6020
Hombre,36,8600
Hombre,45,20000
Mujer,38,8600
Hombre,17,1720
Mujer,66,4000
Mujer,32,2150
Mujer,79,2150
Mujer,45,6450
Hombre,36,6000
Mujer,40,4300
Hombre,69,4300
Mujer,26,14000
Mujer,51,6450
Hombre,48,10320
Hombre,14,1290
Hombre,60,6450
Hombre,49,4300
Hombre,37,7740
Mujer,20,8600
Mujer,24,6880
Mujer,47,8000
Mujer,39,8400
Hombre,41,2580
Mujer,37,8000
Mujer,44,2580
Hombre,47,14000
Mujer,55,3225
Hombre,43,6450
Hombre,50,12900
Mujer,25,4300
Hombre,49,4600
Mujer,40,5160
Hombre,30,12000
Hombre,53,8170
Mujer,24,8000
Hombre,23,4300
Hombre,41,3870
Mujer,35,4300
Hombre,36,6880
Hombre,35,14000
Mujer,50,3870
Hombre,66,1666
Hombre,59,17200
Hombre,27,4300
Hombre,34,5590
Hombre,46,13330
Hombre,18,1290
Mujer,57,6450
Hombre,37,6880
Hombre,53,7740
Hombre,45,12900
Hombre,48,2333
Hombre,21,5805
Mujer,28,16000
Mujer,31,4300
Hombre,27,4300
Hombre,40,10750
Mujer,65,3870
Mujer,22,3000
Hombre,56,10750
Hombre,26,4300
Hombre,61,5160
Hombre,24,5160
Hombre,41,15480
Hombre,66,5000
Mujer,26,15000
Mujer,26,4730
Mujer,28,7000
Mujer,25,3225
Hombre,44,6020
Hombre,25,8170
Hombre,47,6450
Mujer,37,5590
Hombre,50,8600
Hombre,59,5000
Hombre,43,6450
Hombre,34,7740
Mujer,27,10320
Hombre,58,12900
Mujer,26,4300
Hombre,21,5160
Hombre,50,11900
Hombre,70,2580
Mujer,54,5160
Hombre,36,6450
Mujer,44,3870
Hombre,21,6450
Mujer,44,7353
Hombre,72,2150
Mujer,49,1500
Mujer,22,3600
Mujer,37,13200
Mujer,82,1075
Hombre,25,10000
Hombre,30,7740
Hombre,63,6450
Mujer,39,3870
Hombre,43,6450
Hombre,41,8000
Hombre,18,4300
Hombre,42,10750
Hombre,34,15050
Hombre,27,2150
Hombre,20,4300
Hombre,62,10000
Hombre,29,6020
Mujer,45,5160
Hombre,25,14000
Hombre,55,3870
Hombre,34,5160
Mujer,57,1290
Mujer,48,2150
Hombre,19,3440
Mujer,55,11000
Mujer,43,4300
Mujer,19,4300
Hombre,46,6450
Hombre,28,4000
Mujer,73,9000
Hombre,38,20000
Mujer,36,3010
Mujer,36,10000
Hombre,53,18000
Mujer,50,2580
Hombre,36,12000
Hombre,69,6450
Hombre,41,5590
Mujer,40,8000
Hombre,49,18000
Hombre,53,10000
Hombre,36,6020
Mujer,62,6450
Mujer,46,4128
Hombre,48,5160
Mujer,32,5000
Hombre,25,10000
Mujer,28,1720
Mujer,30,8600
Mujer,39,5160
Mujer,60,3096
Mujer,26,6450
Hombre,58,4515
Hombre,23,8600
Hombre,53,5000
Hombre,30,8000
Hombre,44,6450
Hombre,55,2150
Hombre,54,4500
Hombre,56,16000
Hombre,39,6450
Mujer,19,3225
Hombre,31,3440
Mujer,61,20000
Hombre,61,10000
Hombre,35,5805
Mujer,43,1720
Mujer,33,14000
Hombre,48,12900
Mujer,37,12000
Hombre,58,8170
Hombre,65,3870
Hombre,46,6450
Hombre,66,9460
Hombre,34,14000
Hombre,23,4300
Hombre,21,8600
Mujer,59,6450
Mujer,49,1200
Mujer,33,6020
Mujer,25,2580
Hombre,20,6450
Hombre,29,10000
Mujer,23,12900
Mujer,47,5590
Mujer,18,2580
Mujer,50,2150
Mujer,22,9000
Hombre,23,3600
Mujer,55,1290
Hombre,40,9000
Mujer,48,6020
Hombre,35,14000
Hombre,17,5160
Hombre,49,36000
Mujer,45,16000
Hombre,39,21500
Hombre,34,3870
Hombre,33,8000
Hombre,55,2500
Hombre,47,12900
Mujer,39,5000
Hombre,50,12900
Hombre,68,3440
Hombre,26,9000
Hombre,30,6000
Hombre,19,10750
Mujer,45,12900
Hombre,43,6580
Mujer,60,2580
Hombre,62,10750
Mujer,69,4300
Mujer,17,3225
Hombre,60,3225
Mujer,38,3440
Hombre,59,30000
Mujer,60,4200
Mujer,54,15400
